2018,uniform integral feasible proof determinant identity
2018,uniform integral feasible proof determinant identity
2017,uniform integral efficient proof determinant identity
2017,survey class primitive recursive function
2016,relativizing small complexity class theory
2016,exponential lower bound monotone span program
2016,lower bound nondeterministic semantic read-once branching program
2016,exponential lower bound monotone span program
2014,hardness private
2014,complexity comparator circuit value problem
2013,theory subexponential-size bounded-depth frege proof
2013,average case lower bound monotone switching network
2013,complexity theory operator analysis
2013,average case lower bound monotone switching network
2012,formal theory linear algebra
2012,complexity proving discrete jordan curve theorem
2012,pebble branching program tree evaluation
2012,complexity theory operator analysis
2012,hardness private
2012,connecting complexity class weak formal theory propositional proof system invited talk
2012,relativized propositional calculus
2012,relativizing small complexity class theory
2012,complexity comparator circuit value problem
2011,formalizing randomized matching algorithm
2011,formal theory complexity class associated stable marriage problem
2011,formalizing randomized matching algorithm
2011,complexity class theory comparator circuit value problem
2010,formal theory linear algebra
2010,complexity theory operator analysis
2010,complexity proving discrete jordan curve theorem
2010,pebble branching program tree evaluation
2009,fractional pebbling thrifty branching program
2009,branching program tree evaluation
2007,consequence provability np ⊆ p/poly
2007,relativizing small complexity class theory
2007,complexity proving discrete jordan curve theorem
2006,theory tc0 small complexity class
2006,strength replacement weak arithmetic
2006,comment beckmanns uniform reducts
2005,quantified propositional calculus second-order theory nc1
2005,theory tc0 small complexity class
2005,computing real foundation scientific computing
2004,proof complexity linear algebra
2004,strength replacement weak arithmetic
2004,vtc circ second-order theory tccirc
2004,second-order theory nl
2004,strength replacement weak arithmetic
2003,second-order system polytime reasoning based grädels theorem
2003,importance p versus np question
2003,complete axiomatization block world
2002,optimal location replica network using read-one-write-all policy
2002,complete axiomatization block world
2002,complexity class propositional proof system formal theory
2002,proof complexity linear algebra
2001,second-order system polytime reasoning using graedels theorem
2001,second-order system polynomial-time reasoning based graedels theorem
2000,efficiently approximable real-valued function
1999,exponential lower bound size monotone real circuit
1998,relative complexity np search problem
1997,tight relationship generic oracle type-2 complexity theory
1996,new characterization type-2 feasibility
1996,finding hard instance satisfiability problem survey
1995,relative complexity np search problem
1993,functional interpretation feasibly constructive arithmetic
1993,parallel pointer machine
1992,new recursion-theoretic characterization polytime function
1992,optimal parallel algorithm formula evaluation
1992,optimal placement replica network using read - write policy
1992,new recursion-theoretic characterization polytime function extended abstract
1991,new characterization mehlhorns polynomial time functionals extended abstract
1990,feasibly constructive lower bound resolution proof
1989,complexity theory parallel time hardware
1989,two application inductive counting complementation problem
1989,erratum two application inductive counting complementation problem
1989,characterization basic feasible functionals finite type extended abstract
1989,functional interpretation feasibly constructive arithmetic extended abstract
1988,short propositional formula represent nondeterministic computation
1988,simple parallel algorithm finding satisfying truth assignment 2-cnf formula
1988,two application complementation via inductive counting
1987,problem complete deterministic logarithmic space
1987,parallel complexity abelian permutation group problem
1986,upper lower time bound parallel random access machine without simultaneous writes
1986,log depth circuit division related problem
1985,taxonomy problem fast parallel algorithm
1985,depth-universal circuit
1984,log depth circuit division related problem
1983,overview computational complexity
1983,recognition deterministic cfls small time space
1983,parallel computation well-endowed ring space-bounded probabilistic machine
1983,classifikation problem fast parallel algorithm
1983,parallel complexity abelian permutation group membership problem
1982,time-space tradeoff sorting general sequential model computation
1982,bound time parallel ram compute simple function
1981,corrigendum soundness completeness axiom system program verification
1980,space lower bound maze threadability restricted machine
1980,hardware complexity parallel computation preliminary version
1980,time-space tradeoff sorting general sequential model computation
1979,relative efficiency propositional proof system
1979,deterministic cfls accepted simultaneously polynomial time log squared space
1978,soundness completeness axiom system program verification
1976,storage requirement deterministic polynomial time recognizable language
1976,number addition compute specific polynomial
1975,assertion language data structure
1975,feasibly constructive proof propositional calculus preliminary version
1975,proving assertion program manipulate data structure
1974,observation time-storage trade
1974,storage requirement deterministic polynomial time recognizable language
1974,length proof propositional calculus preliminary version
1974,number addition compute specific polynomial preliminary version
1973,hierarchy nondeterministic time complexity
1973,time bounded random access machine
1973,observation time-storage trade
1972,time-bounded random access machine
1972,hierarchy nondeterministic time complexity
1971,characterization pushdown machine term time-bounded computer
1971,linear time simulation deterministic two-way pushdown automaton
1971,complexity theorem-proving procedure
1970,path system language recognition
1969,variation pushdown machine detailed abstract
1966,solvability derivability problem one-normal system
